order_id,date,time,product_id,quantity,class_no
44651288,2022/3/31,6:55:15,10003,1,A001
44651288,2022/3/31,6:55:15,10050,1,A002
44651288,2022/3/31,6:55:15,10082,3,A006
44651288,2022/3/31,6:55:15,10651,2,G060
44651288,2022/3/31,6:55:15,10666,2,G061
44651288,2022/3/31,6:55:15,10674,2,G062
44665692,2022/4/14,16:37:41,10416,3,F048
44626431,2022/3/6,10:20:55,10009,1,A001
44626431,2022/3/6,10:20:55,10022,1,A005
44626977,2022/3/6,23:27:55,10689,1,D024
44626977,2022/3/6,23:27:55,10706,1,D030
44626977,2022/3/6,23:27:55,10709,2,D027
44626977,2022/3/6,23:27:55,10759,2,D029
44660473,2022/4/9,11:21:28,10027,1,A005
44660473,2022/4/9,11:21:28,10559,1,B009
44660473,2022/4/9,11:21:28,10761,3,D029
44660473,2022/4/9,11:21:28,10241,1,E034
44660473,2022/4/9,11:21:28,10346,2,E042
44660473,2022/4/9,11:21:28,10361,5,E036
44664535,2022/4/13,12:51:44,10007,1,A001
44664535,2022/4/13,12:51:44,10060,1,A002
44664535,2022/4/13,12:51:44,10108,1,A004
44664535,2022/4/13,12:51:44,10539,1,B007
44664535,2022/4/13,12:51:44,10558,1,B009
44664535,2022/4/13,12:51:44,10582,1,G053
44664535,2022/4/13,12:51:44,10632,1,G058
44627511,2022/3/7,12:16:02,10001,1,A001
44627511,2022/3/7,12:16:02,10037,1,A003
44627511,2022/3/7,12:16:02,10016,1,A005
44627511,2022/3/7,12:16:02,10508,1,B010
44627511,2022/3/7,12:16:02,10502,1,B013
44627511,2022/3/7,12:16:02,10579,1,G053
44627511,2022/3/7,12:16:02,10600,1,G055
44627511,2022/3/7,12:16:02,10663,1,G061
44644174,2022/3/24,4:10:36,10705,2,D030
44644174,2022/3/24,4:10:36,10712,2,D027
44644174,2022/3/24,4:10:36,10721,3,D026
44644174,2022/3/24,4:10:36,10765,2,D029
44644174,2022/3/24,4:10:36,10387,2,F046
44644174,2022/3/24,4:10:36,10422,4,F050
44644174,2022/3/24,4:10:36,10328,2,E038
44644174,2022/3/24,4:10:36,10332,4,E043
44644174,2022/3/24,4:10:36,10141,1,C017
44644174,2022/3/24,4:10:36,10191,1,C023
44644174,2022/3/24,4:10:36,10172,2,C016
44644174,2022/3/24,4:10:36,10175,3,C023
44644174,2022/3/24,4:10:36,10226,3,C022
44644174,2022/3/24,4:10:36,10199,3,C019
44644174,2022/3/24,4:10:36,10200,3,C019
44644174,2022/3/24,4:10:36,10203,3,C021
44645031,2022/3/25,0:44:41,10009,1,A001
44645031,2022/3/25,0:44:41,10067,2,A006
44645031,2022/3/25,0:44:41,10107,1,A004
44645031,2022/3/25,0:44:41,10545,1,B007
44645031,2022/3/25,0:44:41,10484,1,B008
44645031,2022/3/25,0:44:41,10517,1,B010
44645031,2022/3/25,0:44:41,10532,1,B011
44645031,2022/3/25,0:44:41,10500,1,B013
44645031,2022/3/25,0:44:41,10558,1,B009
44645031,2022/3/25,0:44:41,10575,1,B012
44645031,2022/3/25,0:44:41,10385,5,F047
44645031,2022/3/25,0:44:41,10430,4,F050
44645031,2022/3/25,0:44:41,10432,3,F051
44656914,2022/4/5,21:56:47,10015,1,A001
44656914,2022/4/5,21:56:47,10058,1,A002
44656914,2022/4/5,21:56:47,10076,1,A006
